T	X[nTp]	Y[nTp]
2.716	1	0.989418
2.72	1	0.989418
2.724	1	0.989418
2.728	1	0.989418
2.732	1	0.989418
2.736	1	0.989418
2.74	1	0.989418
2.744	1	0.989418
2.748	1	0.989418
2.752	1	0.989418
2.756	1	0.989418
2.76	1	0.989418
2.764	1	0.989418
2.768	1	0.989418
2.772	1	0.989418
2.776	1	0.989418
2.78	1	0.989418
2.784	1	0.989418
2.788	1	0.989418
2.792	1	0.989418
2.796	1	0.989418
2.8	1	0.989418
2.804	1	0.989418
2.808	1	0.989418
2.812	1	0.989418
2.816	1	0.989418
2.82	1	0.989418
2.824	1	0.989418
2.828	1	0.989418
2.832	1	0.989418
2.836	1	0.989418
2.84	1	0.989418
2.844	1	0.989418
2.848	1	0.989418
2.852	1	0.989418
2.856	1	0.989418
2.86	1	0.989418
2.864	1	0.989418
2.868	1	0.989418
2.872	1	0.989418
2.876	1	0.989418
2.88	1	0.989418
2.884	1	0.989418
2.888	1	0.989418
2.892	1	0.989418
2.896	1	0.989418
2.9	1	0.989418
2.904	1	0.989418
2.908	1	0.989418
2.912	1	0.989418
2.916	1	0.989418
2.92	1	0.989418
2.924	1	0.989418
2.928	1	0.989418
2.932	1	0.989418
2.936	1	0.989418
2.94	1	0.989418
2.944	1	0.989418
2.948	1	0.989418
2.952	1	0.989418
2.956	1	0.989418
2.96	1	0.989418
2.964	1	0.989418
2.968	1	0.989418
2.972	1	0.989418
2.976	1	0.989418
2.98	1	0.989418
2.984	1	0.989418
2.988	1	0.989418
2.992	1	0.989418
2.996	1	0.989418
3	1	0.989418
3.004	1	0.989418
3.008	1	0.989418
3.012	1	0.989418
3.016	1	0.989418
3.02	1	0.989418
3.024	1	0.989418
3.028	1	0.989418
3.032	1	0.989418
3.036	1	0.989418
3.04	1	0.989418
3.044	1	0.989418
3.048	1	0.989418
3.052	1	0.989418
3.056	1	0.989418
3.06	1	0.989418
3.064	1	0.989418
3.068	1	0.989418
3.072	1	0.989418
3.076	1	0.989418
3.08	1	0.989418
3.084	1	0.989418
3.088	1	0.989418
3.092	1	0.989418
3.096	1	0.989418
3.1	1	0.989418
3.104	1	0.989418
3.108	1	0.989418
3.112	1	0.989418
3.116	1	0.989418
3.12	1	0.989418
3.124	1	0.989418
3.128	1	0.989418
3.132	1	0.989418
3.136	1	0.989418
3.14	1	0.989418
3.144	1	0.989418
3.148	1	0.989418
3.152	1	0.989418
3.156	1	0.989418
3.16	1	0.989418
3.164	1	0.989418
3.168	1	0.989418
3.172	1	0.989418
3.176	1	0.989418
3.18	1	0.989418
3.184	1	0.989418
3.188	1	0.989418
3.192	1	0.989418
3.196	1	0.989418
3.2	1	0.989418
3.204	1	0.989418
3.208	1	0.989418
3.212	1	0.989418
3.216	1	0.989418
3.22	1	0.989418
3.224	1	0.989418
3.228	1	0.989418
3.232	1	0.989418
3.236	1	0.989418
3.24	1	0.989418
3.244	1	0.989418
3.248	1	0.989418
3.252	1	0.989418
3.256	1	0.989418
3.26	1	0.989418
3.264	1	0.989418
3.268	1	0.989418
3.272	1	0.989418
3.276	1	0.989418
3.28	1	0.989418
3.284	1	0.989418
3.288	1	0.989418
3.292	1	0.989418
3.296	1	0.989418
3.3	1	0.989418
3.304	1	0.989418
3.308	1	0.989418
3.312	1	0.989418
3.316	1	0.989418
3.32	1	0.989418
3.324	1	0.989418
3.328	1	0.989418
3.332	1	0.989418
3.336	1	0.989418
3.34	1	0.989418
3.344	1	0.989418
3.348	1	0.989418
3.352	1	0.989418
3.356	1	0.989418
3.36	1	0.989418
3.364	1	0.989418
3.368	1	0.989418
3.372	1	0.989418
3.376	1	0.989418
3.38	1	0.989418
3.384	1	0.989418
3.388	1	0.989418
3.392	1	0.989418
3.396	1	0.989418
3.4	1	0.989418
3.404	1	0.989418
3.408	1	0.989418
3.412	1	0.989418
3.416	1	0.989418
3.42	1	0.989418
3.424	1	0.989418
3.428	1	0.989418
3.432	1	0.989418
3.436	1	0.989418
3.44	1	0.989418
3.444	1	0.989418
3.448	1	0.989418
3.452	1	0.989418
3.456	1	0.989418
3.46	1	0.989418
3.464	1	0.989418
3.468	1	0.989418
3.472	1	0.989418
3.476	1	0.989418
3.48	1	0.989418
3.484	1	0.989418
3.488	1	0.989418
3.492	1	0.989418
3.496	1	0.989418
3.5	1	0.989418
3.504	1	0.989418
3.508	1	0.989418
3.512	1	0.989418
3.516	1	0.989418
3.52	1	0.989418
3.524	1	0.989418
3.528	1	0.989418
3.532	1	0.989418
3.536	1	0.989418
3.54	1	0.989418
3.544	1	0.989418
3.548	1	0.989418
3.552	1	0.989418
3.556	1	0.989418
3.56	1	0.989418
3.564	1	0.989418
3.568	1	0.989418
3.572	1	0.989418
3.576	1	0.989418
3.58	1	0.989418
3.584	1	0.989418
3.588	1	0.989418
3.592	1	0.989418
3.596	1	0.989418
3.6	1	0.989418
3.604	1	0.989418
3.608	1	0.989418
3.612	1	0.989418
3.616	1	0.989418
3.62	1	0.989418
3.624	1	0.989418
3.628	1	0.989418
3.632	1	0.989418
3.636	1	0.989418
3.64	1	0.989418
3.644	1	0.989418
3.648	1	0.989418
3.652	1	0.989418
3.656	1	0.989418
3.66	1	0.989418
3.664	1	0.989418
3.668	1	0.989418
3.672	1	0.989418
3.676	1	0.989418
3.68	1	0.989418
3.684	1	0.989418
3.688	1	0.989418
3.692	1	0.989418
3.696	1	0.989418
3.7	1	0.989418
3.704	1	0.989418
3.708	1	0.989418
3.712	1	0.989418
3.716	1	0.989418
3.72	1	0.989418
3.724	1	0.989418
3.728	1	0.989418
3.732	1	0.989418
3.736	1	0.989418
3.74	1	0.989418
3.744	1	0.989418
3.748	1	0.989418
3.752	1	0.989418
3.756	1	0.989418
3.76	1	0.989418
3.764	1	0.989418
3.768	1	0.989418
3.772	1	0.989418
3.776	1	0.989418
3.78	1	0.989418
3.784	1	0.989418
3.788	1	0.989418
3.792	1	0.989418
3.796	1	0.989418
3.8	1	0.989418
3.804	1	0.989418
3.808	1	0.989418
3.812	1	0.989418
3.816	1	0.989418
3.82	1	0.989418
3.824	1	0.989418
3.828	1	0.989418
3.832	1	0.989418
3.836	1	0.989418
3.84	1	0.989418
3.844	1	0.989418
3.848	1	0.989418
3.852	1	0.989418
3.856	1	0.989418
3.86	1	0.989418
3.864	1	0.989418
3.868	1	0.989418
3.872	1	0.989418
3.876	1	0.989418
3.88	1	0.989418
3.884	1	0.989418
3.888	1	0.989418
3.892	1	0.989418
3.896	1	0.989418
3.9	1	0.989418
3.904	1	0.989418
3.908	1	0.989418
3.912	1	0.989418
3.916	1	0.989418
3.92	1	0.989418
3.924	1	0.989418
3.928	1	0.989418
3.932	1	0.989418
3.936	1	0.989418
3.94	1	0.989418
3.944	1	0.989418
3.948	1	0.989418
3.952	1	0.989418
3.956	1	0.989418
3.96	1	0.989418
3.964	1	0.989418
3.968	1	0.989418
3.972	1	0.989418
3.976	1	0.989418
3.98	1	0.989418
3.984	1	0.989418
3.988	1	0.989418
3.992	1	0.989418
3.996	1	0.989418
